1,0,Ноутбуки
101,1,Ноутбуки
1686,1,Комплектуючі і опціі ноутбуки
99047,1,Додаткова гарантія і сервіси
2,0,Комп'ютери
110,2,Моноблоки
800,2,Неттопи
109,2,Персональні комп'ютери
520,2,Робочі станції
500,2,Тонкі клієнти
1560,2,Додаткова гарантія і сервіси
1694,2,Комплектуючі і опціі комп'ютери
3,0,Комплектуючі для ПК
114,3,Процесори
112,3,Материнські плати
1668,3,Модулі пам'яті
111,3,Відеокарти
116,3,SSD накопичувачі внутрішні
115,3,Жорсткі диски
119,3,Блоки живлення для ПК
1754,3,Аксесуари для комп'ютерних корпусів
123,3,Звукові карти
118,3,Корпуси комп'ютерні
120,3,Оптичні приводи
122,3,Кулери для процесора
121,3,Кулери для корпуса
124,3,"Контролери, адаптери"
125,3,"Кабелі, перехідники, шлейфи"
580,0,Програмне забезпечення
600,580,Операційні системи
601,580,Серверні продукти
720,580,Офісні програми
1722,580,Програмна продукція ESD
1705,580,Кібербезпека
99051,580,Антивірусне ПЗ
9,0,Дрібна комп'ютерна периферія
164,9,Миші
165,9,Клавіатури
166,9,Набори клавіатура + миша
171,9,Навушники і гарнітури
167,9,Ігрові маніпулятори
1731,9,Мікрофони
163,9,Акустичні колонки
1730,9,Ігрові поверхні та килимки
168,9,WEB-камери
169,9,Графічні планшети
1687,9,Інша дрібна периферія
1140,0,"Накопичувачі FLASH, SD, HDD, SSD"
1160,1140,Флеш пам'ять USB
1460,1140,SSD накопичувачі зовнішні
1704,1140,HDD накопичувачі зовнішні
1161,1140,Кард-рідери
1141,1140,Карти пам'яті
460,1140,Чохли для жорстких дисків
340,0,Смартфони і мобільні телефони
156,340,Смартфони
99061,340,Мобільні телефони
661,0,Монітори
143,661,Монітори
147,661,Інформаційні дисплеї
99046,661,Аксесуари для моніторів і інформаційних дисплеїв
660,0,Презентаційне обладнання
149,660,Проектори
150,660,Презентаційні дошки
151,660,Проекційні екрани
153,660,Витратні матеріали для проекторів
1727,660,Дошки і фліпчарти
1736,660,Лампи для проекторів
1811,660,Модулі ОPS для презентаційних дошок
5,0,Пристрої для друку
131,5,Принтери
133,5,Багатофункціональні пристрої
99022,5,Розширена гарантія та сервіси
134,5,Плотери та широкоформатні принтери
137,5,Опції для друкуючих пристроїв
11,0,Активне мережеве обладнання
199,11,Бездротові маршрутизатори та точки доступу
99033,11,Маршрутизатори
99072,11,Комутатори
193,11,Адаптери мережні
99039,11,Ретранслятори
192,11,Пристрої Powerline
99035,11,Модеми
191,11,Пристрої DSL
1637,11,Принт-сервери
194,11,Медіаконвертери
99036,11,Модулі
99031,11,PON
99032,11,Антени та кабелі
1670,11,Відеозв'язок
560,11,Накопичувачі NAS
99034,11,Мережева безпека
1669,11,Опції
99038,11,Програмне забезпечення
99071,11,Сервіс
966,963,Витратні матеріали
138,966,Витратні матеріали для друкувальних пристроїв
99014,966,Для лазерного друку
99015,966,Для струменевого друку
99018,966,Для матричних пристроїв
160,966,Для факсів
99016,966,Запасні частини
99017,966,Папір
1683,0,Кабельна продукція
1677,1683,Вита (кручена пара)
1678,1683,"Кабелі живлення, шнури"
1679,1683,Кабель коаксиальний
1680,1683,Кабель оптичний
1681,1683,Кабель силовий
1682,1683,Патчкорди
1220,0,Квадрокоптери
1221,1220,Квадрокоптери
