root,basecat,subcat,EN,@
0,0,1,Ноутбуки
0,1,101,Ноутбуки
0,1,1686,Комплектуючі і опціі ноутбуки
0,1,99047,Додаткова гарантія і сервіси
0,0,2,Комп'ютери
0,2,110,Моноблоки
0,2,800,Неттопи
0,2,109,Персональні комп'ютери
0,2,520,Робочі станції
0,2,500,Тонкі клієнти
0,2,1560,Додаткова гарантія і сервіси
0,2,1694,Комплектуючі і опціі комп'ютери
0,0,3,Комплектуючі для ПК
0,3,114,Процесори
0,3,112,Материнські плати
0,3,1668,Модулі пам'яті
0,3,111,Відеокарти
0,3,116,SSD накопичувачі внутрішні
0,3,115,Жорсткі диски
0,3,119,Блоки живлення для ПК
0,3,1754,Аксесуари для комп'ютерних корпусів
0,3,123,Звукові карти
0,3,118,Корпуси комп'ютерні
0,3,120,Оптичні приводи
0,3,122,Кулери для процесора
0,3,121,Кулери для корпуса
0,3,124,"Контролери, адаптери"
0,3,125,"Кабелі, перехідники, шлейфи"
0,0,580,Програмне забезпечення
0,580,600,Операційні системи
0,580,601,Серверні продукти
0,580,720,Офісні програми
0,580,1722,Програмна продукція ESD
0,580,1705,Кібербезпека
0,580,99051,Антивірусне ПЗ
0,0,9,Дрібна комп'ютерна периферія
0,9,164,Миші
0,9,165,Клавіатури
0,9,166,Набори клавіатура + миша
0,9,171,Навушники і гарнітури
0,9,167,Ігрові маніпулятори
0,9,1731,Мікрофони
0,9,163,Акустичні колонки
0,9,1730,Ігрові поверхні та килимки
0,9,168,WEB-камери
0,9,169,Графічні планшети
0,9,1687,Інша дрібна периферія
0,0,1140,"Накопичувачі FLASH, SD, HDD, SSD"
0,1140,1160,Флеш пам'ять USB
0,1140,1460,SSD накопичувачі зовнішні
0,1140,1704,HDD накопичувачі зовнішні
0,1140,1161,Кард-рідери
0,1140,1141,Карти пам'яті
0,1140,460,Чохли для жорстких дисків
0,0,340,Смартфони і мобільні телефони
0,340,156,Смартфони
0,340,99061,Мобільні телефони
0,0,661,Монітори
0,661,143,Монітори
0,661,147,Інформаційні дисплеї
0,661,99046,Аксесуари для моніторів і інформаційних дисплеїв
0,0,660,Презентаційне обладнання
0,660,149,Проектори
0,660,150,Презентаційні дошки
0,660,151,Проекційні екрани
0,660,153,Витратні матеріали для проекторів
0,660,1727,Дошки і фліпчарти
0,660,1736,Лампи для проекторів
0,660,1811,Модулі ОPS для презентаційних дошок
0,0,5,Пристрої для друку
0,5,131,Принтери
0,5,133,Багатофункціональні пристрої
0,5,99022,Розширена гарантія та сервіси
0,5,134,Плотери та широкоформатні принтери
0,5,137,Опції для друкуючих пристроїв
0,0,11,Активне мережеве обладнання
0,11,199,Бездротові маршрутизатори та точки доступу
0,11,99033,Маршрутизатори
0,11,99072,Комутатори
0,11,193,Адаптери мережні
0,11,99039,Ретранслятори
0,11,192,Пристрої Powerline
0,11,99035,Модеми
0,11,191,Пристрої DSL
0,11,1637,Принт-сервери
0,11,194,Медіаконвертери
0,11,99036,Модулі
0,11,99031,PON
0,11,99032,Антени та кабелі
0,11,1670,Відеозв'язок
0,11,560,Накопичувачі NAS
0,11,99034,Мережева безпека
0,11,1669,Опції
0,11,99038,Програмне забезпечення
0,11,99071,Сервіс
0,963,966,Витратні матеріали
0,966,138,Витратні матеріали для друкувальних пристроїв
0,966,99014,Для лазерного друку
0,966,99015,Для струменевого друку
0,966,99018,Для матричних пристроїв
0,966,160,Для факсів
0,966,99016,Запасні частини
0,966,99017,Папір
0,0,1683,Кабельна продукція
0,1683,1677,Вита (кручена пара)
0,1683,1678,"Кабелі живлення, шнури"
0,1683,1679,Кабель коаксиальний
0,1683,1680,Кабель оптичний
0,1683,1681,Кабель силовий
0,1683,1682,Патчкорди
0,0,1220,Квадрокоптери
0,1220,1221,Квадрокоптери
0,1220,99030,Аксесуари до квадрокоптера
0,1220,99082,FPV
0,1220,99078,Аксесуари для БПЛА
0,1220,1810,Комплектуючі для БПЛА
0,1220,99100,Пульти керування БПЛА
0,0,1724,Міні АТС
0,1724,342,Аналогові міні-АТС
0,1724,343,Системні телефони
0,1724,161,Цифрові міні-АТС
0,1724,344,Консолі
0,1724,345,Опції
0,1724,99073,Програмне забезпечення
0,0,1725,Обладнання для дезинфекції
0,1725,1726,Дозуючі конструкції для дезінфекції
0,0,12,Пасивне мережеве обладнання
0,12,202,Аксесуари до монтажного обладнання
0,12,99040,Блоки живлення (PDU)
0,12,210,Інструменти і прилади
0,12,99043,"Конструктиви для підлоги, люки"
0,12,200,Монтажні шафи і стійки
0,12,205,Патч-панелі телекомунікаційні
0,12,1671,"Роз'єми, з'єднувачі"
0,12,1672,Системи моніторингу
0,12,99045,Стяжки і маркування
0,0,1500,Персональна медична техніка
0,1500,1501,Тонометри
0,1500,1502,Термометри
0,1500,1503,Інгалятори
0,1500,99049,Аксесуари для тонометрів
0,1500,99048,Аксесуари для інгалятора
0,0,99067,Планшети
0,99067,216,Планшети
0,0,1280,Пристрої ''розумний будинок''
