1,Тварини та зоотовари,,,,,,
3237,Тварини та зоотовари,Живі тварини,,,,,
2,Тварини та зоотовари,Товари для домашніх тварин,,,,,
3,Тварини та зоотовари,Товари для домашніх тварин,Товари для птахів,,,,
7385,Тварини та зоотовари,Товари для домашніх тварин,Товари для птахів,Аксесуари для пташиних кліток,,,
499954,Тварини та зоотовари,Товари для домашніх тварин,Товари для птахів,Аксесуари для пташиних кліток,Купання для птахів у клітці,,
7386,Тварини та зоотовари,Товари для домашніх тварин,Товари для птахів,Аксесуари для пташиних кліток,Миски для їжі та води в пташиній клітці,,
4989,Тварини та зоотовари,Товари для домашніх тварин,Товари для птахів,Пташині клітки та підставки,,,
4990,Тварини та зоотовари,Товари для домашніх тварин,Товари для птахів,Корм для птахів,,,
7398,Тварини та зоотовари,Товари для домашніх тварин,Товари для птахів,Тренажери та гойдалки для птахів,,,
4991,Тварини та зоотовари,Товари для домашніх тварин,Товари для птахів,Драбинки та жердочки для птахів,,,
4992,Тварини та зоотовари,Товари для домашніх тварин,Товари для птахів,Іграшки для птахів,,,
4993,Тварини та зоотовари,Товари для домашніх тварин,Товари для птахів,Ласощі для птахів,,,
4,Тварини та зоотовари,Товари для домашніх тварин,Товари для котів,,,,
5082,Тварини та зоотовари,Товари для домашніх тварин,Товари для котів,Одяг для котів,,,
4433,Тварини та зоотовари,Товари для домашніх тварин,Товари для котів,Ліжка для котів,,,
3367,Тварини та зоотовари,Товари для домашніх тварин,Товари для котів,Корм для котів,,,
543684,Тварини та зоотовари,Товари для домашніх тварин,Товари для котів,Корм для котів,Корм для котів без рецепту,,
543683,Тварини та зоотовари,Товари для домашніх тварин,Товари для котів,Корм для котів,Дієтичний корм для котів,,
4997,Тварини та зоотовари,Товари для домашніх тварин,Товари для котів,Меблі для котів,,,
500059,Тварини та зоотовари,Товари для домашніх тварин,Товари для котів,Аксесуари для меблів для котів,,,
4999,Тварини та зоотовари,Товари для домашніх тварин,Товари для котів,Наповнювач для котячого туалету,,,
8069,Тварини та зоотовари,Товари для домашніх тварин,Товари для котів,Пакети для котячого туалету,,,
7142,Тварини та зоотовари,Товари для домашніх тварин,Товари для котів,Килимки для котячого туалету,,,
5000,Тварини та зоотовари,Товари для домашніх тварин,Товари для котів,Котячі туалети,,,
5001,Тварини та зоотовари,Товари для домашніх тварин,Товари для котів,Іграшки для котів,,,
